suburb,incident_date,injuries,offender,victim,
Belmont,18/11/14,,German Shepherd,Person,
Belmont,1/11/14,,Staffy,Person/Dog,
Queens Park,3/11/14,,??,Person/Dog,
Queens Park ,3/11/14,,??,Person/Dog,
Norlane,10/11/14,Bite on arm,Staffy,Person,
Norlane,10/11/14,Bite on arm,Staffy,Person,
Lovely Banks,13/11/14,Death,??,Dog,
Newtown,28/11/14,Wound,Bull Terrier,Dog,
Indented Head,25/11/14,Bite,??,Dog/Person,
Clifton Springs,4/11/14,Bite ,Doberman,Child,
Whittington,5/12/14,bite,Mal/Shi,Person,
Clifton Springs,2/12/14,bowled over,Rotti,Person,
St Albans Park,3/12/14,,Staffy,Person,
Corio,4/12/14,Bite,Staffy,Dog,
Mannerim,5/12/14,Bite ,unknown where the dog came from,Sheep,
Ocean Grove,10/12/14,Bite,Wolfhound/Cross,Dog,
Whittington,14/12/14,Death,Bull Mastiff,Dog,
Queens Park,15/11/14,Bite ,"3rd RFS for same complaint, mavtel done RFS still Suspended",Dog,
Clifton View Rd Anakie,17/12/14,Death ,German Shepherd,Sheep,
"Foster St, South Geelong",18/12/14,Death,Jac Russell,Guiny Pig,
"Tunbury Court, HIGHTON",30/12/14,Bite,Poodle,Person,
"Ocean Mist Court, ST LEONARDS",22/12/14,Bite,Blue Heeler,Person,
Staceys Rd,31/12/14,Bite ,German Shepherd,Dog,
Hamlyn Heights,13/12/14,Bite,Staffy x,Person,
Wallington,2/1/13,Bruising,Maltese,Child,
Geelong ,21/1/13,Bruising,,Dog,
Lara,21/1/13,Death,Doberman,Kangaroo,
Corio,24/1/13,,Pitbull X,Person,
Geelong ,29/1/13,Broken Skins,Staffy X,Person,
Marshall,22/1/13,Scratches,STABUT,Dog,
Portarlington,27/1/13,,Pitbull X,Dog,
LARA,5/1/13,,Labs,Sheep,
Norlane,18/1/13,,Staffy  ,Cat,
Waurn Ponds,20/1/13,Puncture wounds,,Dog,
Highton,31/1/13,Puncture wounds,Staffy's,Dog,
Corio,18/1/13,,Staffy,Dog/Person,
Belmont,18/1/13,,Staffy X,Dog,
Geelong ,21/1/13,Bruising,Jack Russel,Dog,
Wallington,5/1/13,,,Child,
Hamlyn Heights,6/1/13,,,Person,
Herne Hill,31/1/13,Peirced Skin,Staffy,Person,
Bremlea,5/2/13,,Whippet,Dog,
Marshall,22/1/13,Soft Tissue,STABUT,Dog,
Geelong West,12/2/13,,STA,Child,
South geelong,19/2/13,,STA,Dog,
Lara,19/3/13,Broken Skin,Blue Heeler,person,
Whittington,22/3/13,Broken Skin,Staffy,Person,
